timestamp,username,ip,port,login_time,status
2026-08-01 08:35:26,ClientA,10.0.0.2,56680,2026-08-01 08:35:26,online
2026-08-01 08:35:26,ClientB,10.0.0.3,41818,2026-08-01 08:35:26,online
2026-08-01 08:35:28,ClientA,10.0.0.2,56680,2026-08-01 08:35:26,offline
2026-08-01 08:35:28,ClientB,10.0.0.3,41818,2026-08-01 08:35:26,offline
2026-08-01 08:35:30,ClientA,10.0.0.2,39480,2026-08-01 08:35:30,online
2026-08-01 08:35:30,ClientC,10.0.0.4,50008,2026-08-01 08:35:30,online
2026-08-01 08:35:30,ClientB,10.0.0.3,57882,2026-08-01 08:35:30,online
2026-08-01 08:35:32,ClientA,10.0.0.2,39480,2026-08-01 08:35:30,offline
2026-08-01 08:35:32,ClientB,10.0.0.3,57882,2026-08-01 08:35:30,offline
2026-08-01 08:35:32,ClientC,10.0.0.4,50008,2026-08-01 08:35:30,offline
2026-08-01 08:35:34,ClientB,10.0.0.3,57896,2026-08-01 08:35:34,online
2026-08-01 08:35:34,ClientC,10.0.0.4,50012,2026-08-01 08:35:34,online
2026-08-01 08:35:34,ClientA,10.0.0.2,39496,2026-08-01 08:35:34,online
2026-08-01 08:35:34,ClientD,10.0.0.5,59050,2026-08-01 08:35:34,online
2026-08-01 08:35:37,ClientC,10.0.0.4,50012,2026-08-01 08:35:34,offline
2026-08-01 08:35:37,ClientD,10.0.0.5,59050,2026-08-01 08:35:34,offline
2026-08-01 08:35:37,ClientB,10.0.0.3,57896,2026-08-01 08:35:34,offline
2026-08-01 08:35:37,ClientA,10.0.0.2,39496,2026-08-01 08:35:34,offline
