timestamp,sender,receiver,message_type,message
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-001
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-002
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-003
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-001
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-004
2026-08-01 08:35:26,ClientA,ClientB,private,pm-005
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-006
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-002
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-003
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-004
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-007
2026-08-01 08:35:26,ClientB,ClientA,private,pm-005
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-006
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-007
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-008
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-009
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-008
2026-08-01 08:35:26,ClientB,ClientA,private,pm-010
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-011
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-012
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-013
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-014
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-009
2026-08-01 08:35:26,ClientA,ClientB,private,pm-010
2026-08-01 08:35:26,ClientB,ClientA,private,pm-015
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-016
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-017
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-018
2026-08-01 08:35:26,ClientB,ALL,broadcast,bc-019
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-011
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-012
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-013
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-014
2026-08-01 08:35:26,ClientA,ClientB,private,pm-015
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-016
2026-08-01 08:35:26,ClientA,ALL,broadcast,bc-017
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-018
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-019
2026-08-01 08:35:27,ClientA,ClientB,private,pm-020
2026-08-01 08:35:27,ClientA,ClientA,list,/list
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-021
2026-08-01 08:35:27,ClientB,ClientA,private,pm-020
2026-08-01 08:35:27,ClientB,ClientB,list,/list
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-021
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-022
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-023
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-024
2026-08-01 08:35:27,ClientB,ClientA,private,pm-025
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-022
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-023
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-026
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-027
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-028
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-024
2026-08-01 08:35:27,ClientA,ClientB,private,pm-025
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-026
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-029
2026-08-01 08:35:27,ClientB,ClientA,private,pm-030
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-027
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-028
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-029
2026-08-01 08:35:27,ClientA,ClientB,private,pm-030
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-031
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-032
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-033
2026-08-01 08:35:27,ClientA,ALL,broadcast,bc-034
2026-08-01 08:35:27,ClientA,ClientB,private,pm-035
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-031
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-032
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-033
2026-08-01 08:35:27,ClientB,ALL,broadcast,bc-034
2026-08-01 08:35:27,ClientB,ClientA,private,pm-035
